GRO Medium (Mix RL-Oligo and mGAM at the ratio of 5:5),
Peptone,7.5 g
Casein peptone,5.0 g
Soybean peptone,1.5 g
Yeast extract,2.5 g
Beef extract powder,1.0 g
Digestive serum powder,6.75 g
Beef liver extract powder,0.60 g
Glucose,1.5 g
KH2PO4,1.25 g
NaCl,1.5 g
Soluble Starch ,0.15 g
L-Cysteine HCl,0.15 g
Sodium thioglycollate,0.075 g
VK1 solution (see below),1 mL
Hemin solution (see below),5 mL
0.1% Resazurin (see below),1 mL
Solution A (see below),0.045 mL
Solution B (see below),94 mL
Solution C (see below),94 mL
Solution E (see below),28 mL
Rumen fluid (see below),50 mL
ddH2O,730 mL
