Modified Peptone-Yeast extract-Glucose Medium,
Trypticase peptone,5.0 g
Peptone,3.0 g
Soya peptone,2.0 g
Polypeptone,1.0 g
Yeast extract ,10.0 g
Beef extract ,5.0 g
Glucose ,5.0 g
Tween 80 ,0.5 mL
Maltose,0.50 g
Cellobiose,0.50 g
Soluble starch,0.50 g
Glycerol,0.5 mL
K2HPO4,2.0 g
L-cysteine HCl,0.50 g
0.1% Resazurin (see below),1 mL
Salt solution (see below),40 mL
Trace element (see below),10 mL
Vitamin solution (see below),10 mL
Hemin solution (see below),10 mL
Vitamin K1 solution (see below),0.2 mL
ddH2O,930 mL
