Diluted MPYG Medium (Ten times diluted MPYG),
Trypticase peptone,0.50 g
Peptone,0.30 g
Soya peptone,0.20 g
Polypeptone,0.10 g
Yeast extract ,1.0 g
Beef extract ,0.50 g
Glucose ,0.50 g
Tween 80 ,0.05 mL
Maltose,0.05 g
Cellobiose,0.05 g
Soluble starch,0.05 g
Glycerol,0.05 mL
K2HPO4,0.20 g
L-cysteine HCl,0.05 g
0.1% Resazurin (see below),1 mL
Salt solution (see below),4 mL
Trace element (see below),1 mL
Vitamin solution (see below),1 mL
Hemin solution (see below),1 mL
Vitamin K1 solution (see below),0.02 mL
ddH2O,990 mL
