mYM Medium (Mix MPYG and mYCFA at the ratio of 5:5),
Casitone,5.0 g
Yeast extract,6.25 g
Glucose,5.0 g
Trypticase peptone,2.5 g
Peptone,1.5 g
Soya peptone,1.0 g
Polypeptone,0.50 g
Beef extract ,2.50 g
Tween 80 ,0.25 mL
Maltose,0.25 g
Cellobiose,0.25 g
Soluble starch,0.25 g
Glycerol,0.25 mL
MgSO4·7H2O,0.025 g
CaCl2·2H2O,0.045 g
K2HPO4,1.225 g
KH2PO4,0.225 g
NaCl,0.45 g
NaHCO3,2.0 g
L-cysteine HCl,0.75 g
Hemin,0.005 g
0.1% Resazurin (see below),1 mL
Acetic acid,0.95 mL
Propionic acid,0.35 mL
Isobutyric acid,0.045 mL
Valeric acid,0.05 mL
Isovaleric acid,0.05 mL
Vitamin mix (see below),10 mL
Rumen fluid (see below),150 mL
Salt solution (see below),20 mL
Trace element (see below),5 mL
Hemin solution (see below),5 mL
Vitamin K1 solution (see below),0.1 mL
ddH2O,810 mL
